gene,mean_rpkm,median_rpkm,n_mutated_samples,mut_freq,n_altered,cna_dir,rna_dir,concordance,concordant,expressed,frac_outlier,transcriptomic,cna_burden,genomic,score
IGFBP7,27.47003596059111,16.2199,1,0.006666666666666667,18.0,0.7777777777777778,0.08781936507936501,buffered,False,True,0.06403940886699508,0.06403940886699508,0.08860759493670886,0.8830249125321419,0.9584532719247745
DDX24,44.157786699507376,40.3921,0,0.0,33.0,0.8181818181818182,0.1346547151515152,concordant_up,True,True,0.07389162561576355,0.07389162561576355,0.17088607594936708,0.7250136997850187,0.9583333333333333
SCARNA13,7.945845320197044,4.393,0,0.0,33.0,0.8181818181818182,0.4080220121212122,concordant_up,True,True,0.07389162561576355,0.07389162561576355,0.17088607594936708,0.7250136997850187,0.9583333333333333
E2F5,3.2331068965517233,2.0984,1,0.006666666666666667,22.0,0.5909090909090909,-0.1571364973262032,discordant,False,True,0.06403940886699508,0.06403940886699508,0.08227848101265822,0.8714749399317119,0.9579735175590098
LMBRD1,15.481281773399013,13.5871,1,0.006666666666666667,32.0,0.40625,0.09167028769841272,buffered,False,True,0.06403940886699508,0.06403940886699508,0.08227848101265822,0.8714749399317119,0.9579735175590098
IQGAP2,8.241714285714291,6.2639,1,0.006666666666666667,15.0,0.7333333333333333,0.5790719347319346,concordant_up,True,True,0.06403940886699508,0.06403940886699508,0.06962025316455696,0.848185305399823,0.9567021684897332
TGOLN2,59.47589310344827,59.0754,1,0.006666666666666667,10.0,-1.0,-0.044772702702702685,buffered,False,True,0.06403940886699508,0.06403940886699508,0.06329113924050633,0.8305758125026346,0.9559105737862215
PRKCQ,3.9905315270935944,2.7277,0,0.0,24.0,1.0,0.8126284203980099,concordant_up,True,True,0.11330049261083744,0.11330049261083744,0.1518987341772152,0.7113560679509336,0.9550230282095566
OXA1L,60.10049211822659,57.9222,0,0.0,32.0,0.875,0.16101865079365082,concordant_up,True,True,0.06896551724137931,0.06896551724137931,0.17721518987341772,0.7294503224718627,0.9548551141815391
C14orf119,3.529062561576354,2.743,0,0.0,32.0,0.875,0.20034925595238104,concordant_up,True,True,0.06896551724137931,0.06896551724137931,0.17721518987341772,0.7294503224718627,0.9548551141815391
ARF6,144.12883300492607,132.941,0,0.0,30.0,0.9333333333333333,0.4732582291666667,concordant_up,True,True,0.06896551724137931,0.06896551724137931,0.17721518987341772,0.7294503224718627,0.9548551141815391
GPR132,8.75073546798029,6.8576,0,0.0,36.0,0.6666666666666666,0.8504777777777778,concordant_up,True,True,0.10344827586206896,0.10344827586206896,0.1518987341772152,0.7113560679509336,0.9547111878718096
GNB1,82.16905123152704,78.3432,2,0.013333333333333334,22.0,-0.36363636363636365,-0.15485073529411772,concordant_down,True,True,0.06403940886699508,0.06403940886699508,0.05063291139240506,0.7908253593558994,0.954639224716945
RASSF1,37.15375320197044,33.6374,1,0.006666666666666667,12.0,-0.6666666666666666,0.2386125570776255,discordant,False,True,0.06403940886699508,0.06403940886699508,0.05063291139240506,0.7843759221009148,0.9539915563231626
HIVEP1,6.144565024630541,5.0013,0,0.0,25.0,1.0,0.15757275187969927,concordant_up,True,True,0.07881773399014778,0.07881773399014778,0.15822784810126583,0.7153079290140371,0.952912109000192
CDC42BPB,4.629308374384237,1.061,0,0.0,35.0,0.7142857142857143,0.2522400232288037,concordant_up,True,True,0.07881773399014778,0.07881773399014778,0.15822784810126583,0.7153079290140371,0.952912109000192
USP35,1.7331172413793097,1.496,1,0.006666666666666667,16.0,0.375,0.24900070422535206,concordant_up,True,True,0.06896551724137931,0.06896551724137931,0.0379746835443038,0.7264574463600725,0.9517846862406447
APP,15.269112807881768,13.4639,0,0.0,53.0,1.0754716981132075,0.15920089847259655,concordant_up,True,True,0.06403940886699508,0.06403940886699508,0.36075949367088606,0.7415272098807065,0.9510650546919976
CCT8,46.461761576354725,41.5498,0,0.0,53.0,1.0566037735849056,0.29159148247978434,concordant_up,True,True,0.06403940886699508,0.06403940886699508,0.35443037974683544,0.7409054504067782,0.9506092880445212
CSTB,18.701063546798043,14.6493,0,0.0,47.0,1.0212765957446808,0.392858021851639,concordant_up,True,True,0.06403940886699508,0.06403940886699508,0.30379746835443033,0.7393879357585466,0.9499616196507388
HLA-A,49.85804667487683,43.2059,0,0.0,35.0,0.7714285714285715,0.77629918699187,concordant_up,True,True,0.06896551724137931,0.06896551724137931,0.17088607594936708,0.7250136997850187,0.9492899635386682
RIN3,9.257599014778318,4.8834,0,0.0,33.0,0.8181818181818182,-0.12379696969696968,discordant,False,True,0.06896551724137931,0.06896551724137931,0.17088607594936708,0.7250136997850187,0.9492899635386682
IRF2BPL,17.55076059113301,14.4493,0,0.0,29.0,0.9310344827586207,0.8447804330392941,concordant_up,True,True,0.06896551724137931,0.06896551724137931,0.17088607594936708,0.7250136997850187,0.9492899635386682
IFI27L1,1.9759201970443372,1.6196,0,0.0,33.0,0.8181818181818182,0.43923939393939393,concordant_up,True,True,0.06896551724137931,0.06896551724137931,0.17088607594936708,0.7250136997850187,0.9492899635386682
TCL1A,156.6480620689655,92.0872,0,0.0,33.0,0.8181818181818182,0.06592647272727276,buffered,False,True,0.06896551724137931,0.06896551724137931,0.17088607594936708,0.7250136997850187,0.9492899635386682
SNORD9,1.5701014778325124,1.1836,0,0.0,40.0,1.075,0.15764826271186447,concordant_up,True,True,0.06403940886699508,0.06403940886699508,0.2721518987341772,0.738639716730599,0.94926597582038
ARHGEF40,1.611069458128078,1.0875,0,0.0,40.0,1.075,0.06793250000000013,buffered,False,True,0.06403940886699508,0.06403940886699508,0.2721518987341772,0.738639716730599,0.94926597582038
SUPT3H,8.13256502463054,6.0068,0,0.0,27.0,0.8888888888888888,0.511979304495335,concordant_up,True,True,0.07881773399014778,0.07881773399014778,0.1518987341772152,0.7113560679509336,0.9483064670888506
ERP27,7.154383251231518,6.1355,0,0.0,22.0,-1.0909090909090908,0.06938622994652408,buffered,False,True,0.07881773399014778,0.07881773399014778,0.1518987341772152,0.7113560679509336,0.9483064670888506
LY86,23.01735221674877,16.839,0,0.0,24.0,1.0,0.1993727611940299,concordant_up,True,True,0.07881773399014778,0.07881773399014778,0.1518987341772152,0.7113560679509336,0.9483064670888506
R3HDM4,45.81603054187192,40.4909,0,0.0,37.0,-0.6756756756756757,0.2083997766361402,discordant,False,True,0.07389162561576355,0.07389162561576355,0.15822784810126583,0.7153079290140371,0.9478267127230857
PPP2R5C,14.645298522167487,12.3141,0,0.0,35.0,0.7142857142857143,0.14635226480836236,concordant_up,True,True,0.07389162561576355,0.07389162561576355,0.15822784810126583,0.7153079290140371,0.9478267127230857
DDX58,3.5288847290640395,2.8032,0,0.0,41.0,-0.8048780487804879,0.18555584740462788,discordant,False,True,0.06403940886699508,0.06403940886699508,0.2088607594936709,0.7361737554272225,0.9474189215121858
HLA-E,65.33371562280084,56.32287142857143,0,0.0,31.0,1.032258064516129,0.553190246380493,concordant_up,True,True,0.06403940886699508,0.06403940886699508,0.20253164556962025,0.7355519959532942,0.946723277681827
HLA-B,153.80854392446633,142.00039999999998,0,0.0,29.0,1.0689655172413792,0.6877275862068967,concordant_up,True,True,0.06403940886699508,0.06403940886699508,0.1962025316455696,0.734392783374784,0.9455238917674151
HCP5,4.606225985221674,3.629425,0,0.0,29.0,1.0689655172413792,0.3664846565089548,concordant_up,True,True,0.06403940886699508,0.06403940886699508,0.1962025316455696,0.734392783374784,0.9455238917674151
NUP153,58.25665862068958,49.1201,0,0.0,26.0,1.0,0.2860930652680653,concordant_up,True,True,0.06896551724137931,0.06896551724137931,0.16455696202531644,0.719860472958732,0.9441326041066973
NRL,1.2161871921182261,1.0332,0,0.0,31.0,0.8387096774193549,0.4150902463804927,concordant_up,True,True,0.06896551724137931,0.06896551724137931,0.16455696202531644,0.719860472958732,0.9441326041066973
MYLIP,89.9522334975369,75.6934,0,0.0,26.0,1.0,0.09758997668997671,buffered,False,True,0.06896551724137931,0.06896551724137931,0.16455696202531644,0.719860472958732,0.9441326041066973
TDP2,6.861621182266007,6.1905,0,0.0,26.0,1.0,0.05662389277389277,buffered,False,True,0.06896551724137931,0.06896551724137931,0.16455696202531644,0.719860472958732,0.9441326041066973
CCDC107,13.9518157635468,11.8541,0,0.0,42.0,-0.7142857142857143,0.1080404761904761,discordant,False,True,0.06403940886699508,0.06403940886699508,0.189873417721519,0.7327171942840282,0.9436288620226445
CRABP2,4.5913280788177335,2.7294,0,0.0,30.0,0.8,0.8006507812499999,concordant_up,True,True,0.07389162561576355,0.07389162561576355,0.1518987341772152,0.7113560679509336,0.9432210708117443
CSRP1,3.189588669950738,2.634,0,0.0,33.0,0.696969696969697,0.6204915393939394,concordant_up,True,True,0.07881773399014778,0.07881773399014778,0.14556962025316456,0.7064452219365173,0.9426933410094032
